FAC_NO,FAC_NAME,YEAR_QTR,BEG_DATE,END_DATE,OP_STATUS,COUNTY_NAME,HSA,HFPA,TYPE_CNTRL,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,LIC_BEDS,AVL_BEDS,STF_BEDS,DIS_MCAR,DIS_MCAR_MC,DIS_MCAL,DIS_MCAL_MC,DIS_CNTY,DIS_CNTY_MC,DIS_THRD,DIS_THRD_MC,DIS_INDGNT,DIS_OTH,DIS_TOT,DIS_LTC,DAY_MCAR,DAY_MCAR_MC,DAY_MCAL,DAY_MCAL_MC,DAY_CNTY,DAY_CNTY_MC,DAY_THRD,DAY_THRD_MC,DAY_INDGNT,DAY_OTH,DAY_TOT,DAY_LTC,VIS_MCAR,VIS_MCAR_MC,VIS_MCAL,VIS_MCAL_MC,VIS_CNTY,VIS_CNTY_MC,VIS_THRD,VIS_THRD_MC,VIS_INDGNT,VIS_OTH,VIS_TOT,GRIP_MCAR,GRIP_MCAR_MC,GRIP_MCAL,GRIP_MCAL_MC,GRIP_CNTY,GRIP_CNTY_MC,GRIP_THRD,GRIP_THRD_MC,GRIP_INDGNT,GRIP_OTH,GRIP_TOT,GROP_MCAR,GROP_MCAR_MC,GROP_MCAL,GROP_MCAL_MC,GROP_CNTY,GROP_CNTY_MC,GROP_THRD,GROP_THRD_MC,GROP_INDGNT,GROP_OTH,GROP_TOT,BAD_DEBT,CADJ_MCAR,CADJ_MCAR_MC,CADJ_MCAL,CADJ_MCAL_MC,DISP_855,CADJ_CNTY,CADJ_CNTY_MC,CADJ_THRD,CADJ_THRD_MC,CHAR_HB,CHAR_OTH,SUB_INDGNT,TCH_ALLOW,TCH_SUPP,DED_OTH,DED_TOT,CAP_MCAR,CAP_MCAL,CAP_CNTY,CAP_THRD,CAP_TOT,NET_MCAR,NET_MCAR_MC,NET_MCAL,NET_MCAL_MC,NET_CNTY,NET_CNTY_MC,NET_THRD,NET_THRD_MC,NET_INDGNT,NET_OTH,NET_TOT,OTH_OP_REV,TOT_OP_EXP,PHY_COMP,NONOP_REV,DIS_PIPS,DAY_PIPS,EXP_PIPS,EXP_POPS,CAP_EXP,FIX_ASSETS,DISP_TRNFR,DIS_TOT_CC,PAT_DAY_TOT_CC,TOT_OUT_VIS_CC,GROS_INPAT_REV_CC,GROS_OUTPAT_REV_CC,CONTR_ADJ_CC,OTHR_DEDUCT_CC,CAP_PREM_REV_CC,NET_PAT_REV_CC,QA_FEES,QA_SUPPL_PAY,MNGD_CARE_QA_PAY
106150788,ADVENTIST HEALTH BAKERSFIELD,20191,01-01-19,03/31/2019,Open,Kern,09 - Central,617.00,Non Profit Corp.,Comparable,,661-395-3000,2615 CHESTER AVENUE,BAKERSFIELD,93301,SHARLET BRIGGS,254,254,183,991,832,231,957,0,0,255,"1,049",0,57,"4,372",0,"4,566","3,247",810,"3,310",0,0,941,"2,974",0,261,"16,109",0,"11,158","3,847","1,859","12,407",0,0,"2,718","17,172",0,"2,360","51,521","8,77,79,550","6,92,64,201","1,75,38,829","6,13,53,301",0,0,"1,57,33,111","6,46,65,233",0,"17,75,445","31,81,09,670","4,07,58,895","3,35,01,801","56,36,865","5,10,08,821",0,0,"1,87,05,344","6,14,23,349",0,"69,35,778","21,79,70,853","58,68,323","10,67,28,541","8,16,82,132","1,74,01,574","9,56,87,479",0,0,0,"2,13,07,655","9,45,97,863",0,"8,91,047",0,0,0,"76,54,261","43,18,18,875",0,0,0,0,0,"2,06,61,771","2,06,03,896","54,04,191","1,61,15,243",0,0,"1,26,34,529","2,82,46,689",0,"5,95,329","10,42,61,648","12,13,371","10,04,43,734",0,"8,25,752",0,0,0,0,"42,03,112","13,18,56,658",0,0,0,0,0,0,0,0,0,0,0,0,0
106171049,ADVENTIST HEALTH CLEARLAKE,20191,01-01-19,03/31/2019,Open,Lake,01 - Northern California,115.00,Non Profit Corp.,Comparable,Rural,707-995-5820,15630 18TH AVENUE,CLEARLAKE,95422,DAVID SANTOS,25,25,21,184,3,14,125,0,0,14,20,0,2,362,0,889,30,36,479,0,0,76,55,0,2,"1,567",0,"21,194",299,"5,817","21,588",0,0,"5,481","3,456",0,684,"58,519","1,07,97,377","2,97,794","5,04,556","61,15,113",0,0,"8,00,235","12,16,464",0,"26,867","1,97,58,406","2,21,33,133","6,51,907","34,69,451","2,04,34,065",0,0,"17,98,159","68,74,304",0,"12,80,475","5,66,41,494","9,59,591","2,18,72,113","6,54,104","3,36,756","1,91,25,537","-2,05,998",0,0,"10,09,948","39,31,694",0,"11,62,647",0,0,0,"9,43,351","4,97,89,743",0,"25,74,885",0,0,"25,74,885","1,05,84,827","2,77,080","35,50,052","95,81,156",0,0,"14,59,923","38,58,375",0,"-1,26,371","2,91,85,042","12,23,910","2,66,87,876",0,"6,136",0,0,0,0,"9,39,050","3,32,41,389",0,0,0,0,0,0,0,0,0,0,0,0,0
106040875,ADVENTIST HEALTH FEATHER RIVER,20191,01-01-19,03/31/2019,Open,Butte,01 - Northern California,220.00,Church,Comparable,,530-877-9361,5974 PENTZ ROAD,PARADISE,95969,MONTY KNITTEL,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,701",0,"4,459","9,262",0,0,"4,037","2,133",0,611,"34,203",0,0,0,0,0,0,0,0,0,0,0,"49,48,763",0,"19,55,483","39,82,684",0,0,"3,12,766","31,60,425",0,"5,53,772","1,49,13,893","-9,19,665","22,69,687",0,"13,15,578","11,70,340",0,0,0,"1,44,005","5,64,480",0,"5,82,185",0,0,0,"27,99,379","79,25,989",0,0,0,0,0,"23,43,573",0,"6,22,877","25,91,959",0,0,"84,479","18,07,470",0,"-4,62,454","69,87,904","37,13,118","1,16,31,279",0,"-1,15,697",0,0,0,0,"97,457","4,97,92,360",0,0,0,0,0,0,0,0,0,0,0,0,0
106190323,ADVENTIST HEALTH GLENDALE,20191,01-01-19,03/31/2019,Open,Los Angeles,11 - Los Angeles,909.00,Church,Comparable,,818-409-8000,1509 WILSON TERRACE,GLENDALE,91206,KEVIN ROBERTS,515,462,289,"2,129",455,462,991,0,0,102,873,0,72,"5,084",0,"12,159","2,143","3,223","3,903",0,0,448,"3,460",0,269,"25,605",0,"15,535","2,431","1,559","9,902",0,0,"2,468","17,202",0,"1,091","50,188","23,19,22,076","4,77,19,218","3,87,51,555","9,51,02,859",0,0,"31,72,843","7,01,96,170",0,"58,26,315","49,26,91,036","6,79,50,281","1,98,43,493","75,30,459","6,27,12,558",0,0,"39,13,701","6,26,54,486",0,"1,40,96,730","23,87,01,708","57,40,758","26,04,65,696","4,62,50,925","3,46,74,407","14,80,50,997",0,0,0,"38,80,218","9,51,48,222",0,"1,07,87,238",0,0,0,"72,25,046","61,22,23,507",0,0,0,0,0,"3,56,26,089","2,01,48,431","87,95,512","83,77,410",0,0,"28,08,167","3,60,66,132",0,"73,47,496","11,91,69,237","41,19,791","12,46,02,852",0,"19,05,770",0,0,0,0,"22,31,822","19,64,61,694",0,0,0,0,0,0,0,0,0,0,0,0,0
106164029,ADVENTIST HEALTH HANFORD,20191,01-01-19,03/31/2019,Open,Kings,09 - Central,615.00,Church,Comparable,Rural,559-582-9000,115 MALL DRIVE,HANFORD,93230,WAYNE FERCH,230,230,135,903,232,207,812,0,0,162,355,0,37,"2,708",0,"4,753","1,277",805,"3,199",0,0,463,"1,090",0,176,"11,763",0,"14,403","2,586","3,359","29,634",0,0,"5,790","15,472",7,"2,330","73,581","4,67,44,080","1,13,21,693","79,45,565","3,36,09,172",0,0,"45,79,845","1,22,18,713",0,"15,95,719","11,80,14,787","3,47,84,209","83,99,310","85,47,462","7,70,76,969",0,0,"1,22,24,366","3,57,46,899","47,416","77,08,341","18,45,34,972","51,76,875","5,99,24,909","1,62,73,050","97,18,087","9,09,17,626","-10,94,663",0,0,"91,70,497","2,77,11,829",0,"15,52,656",0,0,0,"70,37,958","22,63,88,824",0,"43,81,231",0,0,"43,81,231","1,57,96,283","31,18,566","88,80,275","2,57,07,009",0,0,"29,41,271","2,29,21,285",100,"11,77,377","8,05,42,166","27,25,975","7,36,02,329",0,"-4,23,836",0,0,0,0,"22,40,794","20,30,75,843",0,0,0,0,0,0,0,0,0,0,0,0,0
106234038,ADVENTIST HEALTH HOWARD MEMORIAL,20191,01-01-19,03/31/2019,Open,Mendocino,01 - Northern California,112.00,Non Profit Corp.,Comparable,Rural,707-459-6801,1 MARCELA DRIVE,WILLITS,95490,JASON WELLS,25,25,25,248,15,18,83,0,0,9,45,0,5,423,0,"1,143",70,76,452,0,0,65,131,0,40,"1,977",0,"5,313",490,235,"4,317",0,0,"1,556","2,411",0,357,"14,679","1,93,39,583","9,51,648","9,01,515","62,21,764",0,0,"8,21,580","29,41,623",0,"4,85,810","3,16,63,523","70,69,387","8,26,763","6,80,571","73,10,507",0,0,"9,09,300","48,21,687",0,"6,65,489","2,22,83,704","5,80,153","1,86,04,777","12,30,456","9,11,994","98,55,390",0,0,0,"12,01,189","31,23,017",0,"10,64,594",0,0,0,"9,46,649","3,75,18,219",0,"12,81,986",0,0,"12,81,986","75,83,981","4,71,844","7,00,331","46,20,566",0,0,"4,51,351","43,51,095",0,"-4,68,174","1,77,10,994","8,67,185","1,79,23,504",0,"6,55,456",0,0,0,0,"1,61,994","5,55,26,430",0,0,0,0,0,0,0,0,0,0,0,0,0
106390923,ADVENTIST HEALTH LODI MEMORIAL,20191,01-01-19,03/31/2019,Open,San Joaquin,06 - North San Joaquin,505,Non Profit Corp.,Comparable,,209-334-3411,975 SOUTH FAIRMONT AVENUE,LODI,95240,DANIEL WOLCOTT,190,190,94,893,240,129,547,0,0,41,304,0,35,"2,189",0,"3,673","1,039",514,"1,900",0,0,140,950,0,108,"8,324",0,"20,819","3,932","2,801","23,563",0,0,"4,391","14,028",58,"1,616","71,208","9,13,31,236","2,54,00,930","1,23,57,903","4,57,64,276",0,0,"35,57,754","2,58,05,931",0,"33,32,495","20,75,50,525","5,43,78,022","1,24,98,167","81,62,875","5,51,91,167",0,0,"68,79,971","3,63,58,316","35,385","71,46,277","18,06,50,180","42,27,905","12,32,18,022","3,42,21,271","1,69,52,468","9,16,93,881",0,0,0,"58,58,840","4,61,72,021",0,"7,15,777",0,0,0,"94,30,143","33,24,90,328",0,"13,14,177",0,0,"13,14,177","1,55,48,201","39,68,566","41,14,551","1,12,87,017",0,0,"19,90,581","1,91,65,401",141,"9,50,096","5,70,24,554","6,61,867","5,82,04,895",0,"-33,39,238",0,0,0,0,"40,279","12,65,69,273",0,0,0,0,0,0,0,0,0,0,0,0,0
106100797,ADVENTIST HEALTH REEDLEY,20191,01-01-19,03/31/2019,Open,Fresno,09 - Central,607.00,District,Comparable,Rural,559-582-9000,372 WEST CYPRESS AVENUE,REEDLEY,93654,WAYNE FERCH,49,49,15,58,16,68,216,0,0,2,48,0,5,413,0,211,66,152,456,0,0,4,103,0,20,"1,012",0,"19,451","3,982","12,446","90,555",0,0,"1,494","18,853","3,109","3,104","1,52,994","17,55,209","5,32,345","13,77,221","42,11,836",0,0,"28,869","9,39,385",0,"1,96,962","90,41,827","92,52,768","21,10,384","56,01,415","4,00,54,760",0,0,"14,15,270","78,72,811","5,22,391","27,77,086","6,96,06,885","15,00,392","49,39,762","19,30,433","29,25,428","1,66,02,371","-12,30,261",0,0,"8,84,359","52,58,171",0,"7,40,231",0,0,0,"20,13,523","3,55,64,409",0,0,0,"5,57,862","5,57,862","44,40,339","6,73,907","57,55,077","2,74,55,830",0,0,"3,95,077","43,77,309","92,089","4,52,537","4,36,42,165","29,62,394","3,86,57,397",0,"2,98,601",0,0,0,0,"7,12,549","3,33,42,947",0,0,0,0,0,0,0,0,0,0,0,0,0
106580996,ADVENTIST HEALTH RIDEOUT,20191,01-01-19,03/31/2019,Open,Yuba,02 - Golden Empire,227.00,Non Profit Corp.,Comparable,,530-749-4663,726 FOURTH STREET,MARYSVILLE,95901,RICK RAWSON,221,221,166,"1,434",42,255,734,1,0,461,0,0,19,"2,946",0,"8,213",175,"1,103","3,271",3,0,"1,791",0,0,354,"14,910",0,"22,586",603,"2,538","13,979",20,0,"12,563",0,0,"1,978","54,267","12,15,94,408","25,88,914","1,48,43,216","4,47,56,285","64,122",0,"3,05,63,162",0,0,"28,86,063","21,72,96,170","6,28,11,001","16,76,325","70,57,901","3,88,72,328","54,762",0,"3,49,35,700",0,0,"55,01,047","15,09,09,064","36,52,417","14,59,32,162","34,27,924","1,86,77,193","6,74,92,735",0,"1,07,528",0,"2,27,87,790",0,0,0,0,0,0,"31,81,513","26,52,59,262",0,0,0,0,0,"3,84,73,245","8,37,316","32,23,925","1,61,35,878","11,357",0,"4,05,01,305",0,0,"37,62,946","10,29,45,972","18,45,704","10,99,45,518","1,31,76,346","2,61,607",0,0,0,0,"15,49,033","34,23,39,999",0,0,0,0,0,0,0,0,0,0,0,0,0
106560525,ADVENTIST HEALTH SIMI VALLEY,20191,01-01-19,03/31/2019,Open,Ventura,10 - Santa Barbara/Ventura,813.00,Church,Comparable,,805-955-6000,2975 SYCAMORE DRIVE,SIMI VALLEY,93065,JENNIFER SWENSON,144,85,78,686,272,79,280,0,0,26,403,0,10,"1,756",0,"3,196","1,167",243,951,0,0,91,"1,276",0,41,"6,965",0,"2,754",873,784,"3,560",0,0,"3,369","8,615",0,328,"20,283","5,59,34,646","2,12,66,035","19,60,744","1,53,15,170",0,0,"8,25,396","2,32,28,739",0,"19,77,294","12,05,08,024","1,42,09,000","77,60,798","35,46,305","1,52,08,256",0,0,"13,96,700","2,89,96,884",0,"26,82,375","7,38,00,318","17,62,645","5,90,77,872","2,23,73,264","49,74,277","2,80,59,633",0,0,0,"7,53,261","3,39,37,785",0,"14,69,685",0,0,0,"39,35,397","15,63,43,819",0,0,0,0,0,"1,00,43,308","62,25,472","5,29,974","22,06,194",0,0,"15,54,172","1,62,10,470",0,"11,94,933","3,79,64,523","4,91,756","4,08,97,376",0,"31,490",0,0,0,0,"3,66,471","12,37,13,024",0,0,0,0,0,0,0,0,0,0,0,0,0
